# x y z rgb confidence size
8.566673278808594 -0.885850191116333 0.0 8190976.0 1.0 2.0
8.566673278808594 -0.885850191116333 0.0 8532735.0 2.0 2.0
8.539209365844727 -0.8929348587989807 0.0 8532735.0 3.0 2.0
8.475598335266113 -0.8912814855575562 0.0 8532735.0 4.0 2.0
8.387565612792969 -0.8955891728401184 0.0 8532735.0 5.0 2.0
8.246365547180176 -0.9223211407661438 0.0 8532735.0 6.0 2.0
8.051898956298828 -1.0309770107269287 0.0 8532735.0 7.0 2.0
7.922588348388672 -1.1463801860809326 0.0 8532735.0 8.0 2.0
7.800969123840332 -1.3157715797424316 0.0 8532735.0 9.0 2.0
7.719905853271484 -1.5008313655853271 0.0 8532735.0 10.0 2.0
7.659829139709473 -1.7942936420440674 0.0 8532735.0 11.0 2.0
7.628520965576172 -2.0962774753570557 0.0 8532735.0 12.0 2.0
7.609273433685303 -2.332589864730835 0.0 8532735.0 13.0 2.0
7.617959499359131 -2.599036693572998 0.0 8532735.0 14.0 2.0
7.62017822265625 -2.839672565460205 0.0 8532735.0 15.0 2.0
7.618253707885742 -3.0703999996185303 0.0 8532735.0 16.0 2.0
7.622253894805908 -3.3658668994903564 0.0 8532735.0 17.0 2.0
7.617404460906982 -3.6588222980499268 0.0 8532735.0 18.0 2.0
7.612682342529297 -3.7196574211120605 0.0 8532735.0 19.0 2.0
7.618505001068115 -3.7624027729034424 0.0 8532735.0 20.0 2.0
7.69718074798584 -3.8393917083740234 0.0 8532735.0 21.0 2.0
7.791902542114258 -3.8672821521759033 0.0 8532735.0 22.0 2.0
7.895597457885742 -3.8792920112609863 0.0 8532735.0 23.0 2.0
8.032880783081055 -3.819552421569824 0.0 8532735.0 24.0 2.0
8.310309410095215 -3.610483407974243 0.0 8532735.0 25.0 2.0
8.583609580993652 -3.3373677730560303 0.0 8532735.0 26.0 2.0
8.69684886932373 -3.1795973777770996 0.0 8532735.0 27.0 2.0
8.7902250289917 -2.990412473678589 0.0 8532735.0 28.0 2.0
8.798747062683105 -2.8182573318481445 0.0 8532735.0 29.0 2.0
8.789156913757324 -2.545557975769043 0.0 8532735.0 30.0 2.0
8.797005653381348 -2.3062844276428223 0.0 8532735.0 31.0 2.0
8.805841445922852 -2.0469932556152344 0.0 8532735.0 32.0 2.0
8.826653480529785 -1.7624257802963257 0.0 8532735.0 33.0 2.0
8.820749282836914 -1.4982695579528809 0.0 8532735.0 34.0 2.0
8.81065845489502 -1.2651795148849487 0.0 8532735.0 35.0 2.0
8.792428016662598 -1.0071868896484375 0.0 8532735.0 36.0 2.0
8.798051834106445 -0.7226964235305786 0.0 8532735.0 37.0 2.0
8.85346508026123 -0.4203672707080841 0.0 8532735.0 38.0 2.0
8.875227928161621 -0.33913344144821167 0.0 8532735.0 39.0 2.0
8.872504234313965 -0.32385531067848206 0.0 8532735.0 40.0 2.0
8.871698379516602 -0.29283779859542847 0.0 8532735.0 41.0 2.0
8.803313255310059 -0.19657664000988007 0.0 8532735.0 42.0 2.0
